Num,Title
1,Gas prices surge in Northeast US
2,Schapelle Corby found guilty sentenced to 20 years
3,US government stops Haiti evacuations
4,Wikinews interviews 0 A.D. game development team
5,UEFA Champions League: April 1 2008
6,Former US Senator Jesse Helms dead at 86
7,Irish win narrowly over Italy in RBS 6 opening match
8,Bull moose shot by police in Alaska
9,Iran executes woman despite stay of execution
10,Failed suicide bomber imprisoned for life
11,Queensland win W-League Grand Final
12,Human remains in mass grave confirm Argentina secret death camp
13,Cuba to use open-source software
14,Dwarf gets penis glued to vacuum cleaner
15,Body of missing student found in Bath England
16,Botswana holds parliamentary elections
17,Next generation DVD format war nearing deadline
18,Activists protest against School of the Americas
19,Macedonia says compromise with Greece over name dispute possible
20,Canadian top court strikes down private medicare ban in Quebec
21,Coordinated terrorist attack hits London
22,Transgender woman dies after beating in Harlem New York
23,Apple announces Mac OS X Lion iOS 5 and iCloud
24,Mathematics summer school in Turkey threatened by authorities
25,Cheney gets ovation shooting victim apologizes to Cheney
26,Microsoft develops anti-virus product
27,Woman suffers heart attack at cardiology summit
28,Canadian singer Justin Bieber to publish memoir
29,Mongolia's ex-communists ahead going into Sunday's election
30,Scientists debate whether Hurricane Katrina was aggravated by global warming
31,Community forum held after attacks on Mormon teens in Arizona
32,Hitler doll story found to be hoaxed
33,Toronto Star reporter pursues legal action against Toronto Mayor
34,Japanese riot police deployed around consulates
35,Caterpillars force temporary closure of Wisconsin state park
36,Final launch of Space Shuttle Discovery delayed another day
37,US vice president Biden says Iran sanctions likely by early May
38,Elizabeth II annuls Fred Goodwin knighthood
39,Anti-tax tea parties held across the USA
40,2008 Tour de Taiwan TaiSPO and Taipei Cycle: 3-in-1 preview
41,Flooding kills 91 in El Salvador
42,David Lange former New Zealand prime minister dies at 63
43,Bollywood stars Aishwarya Rai and Abhishek Bachchan engaged
44,German and Swedish foreign ministers agree on Gaza standpoint
45,Thousands attend anti-war protests in London and Glasgow
