Num,Clickbait,Title
1,1,Should I Get Bings
2,0,Croatian singer beaten in Belgrade
3,1,Which TV Female Friend Group Do You Belong In
4,0,163 dead after lead poisoning in Nigeria
5,1,The New "Star Wars: The Force Awakens" Trailer Is Here To Give You Chills
6,0,Karl Rove senior political advisor to President Bush will resign
7,0,Chinese Hostages Freed in Iraq
8,0,Document reveals U.S. Taliban discussed bin Laden assassination
9,1,This Vine Of New York On "Celebrity Big Brother" Is Fucking Perfect
10,1,A Couple Did A Stunning Photo Shoot With Their Baby After Learning She Had An Inoperable Brain Tumor
11,1,How To Flirt With Queer Girls Without Making A Total Fool Of Yourself
12,0,Merv Griffin dies at 82
13,0,Madeira storm kills at least 42
14,0,Bus crashes into shop in Cardiff Wales
15,1,32 Cute Things To Distract From Your Awkward Thanksgiving
16,1,If Disney Princesses Were From Florida
17,0,Former U.S. governor Palin signs TV deal with Fox News
18,1,What's A Quote Or Lyric That Best Describes Your Depression
19,1,Natalie Dormer And Sam Claflin Play A Game To See How They'd Actually Last In "The Hunger Games"
20,0,Bravitude climbing fast on Google
21,1,16 Perfect Responses To The Indian Patriarchy
22,1,21 Times I Died During The "Captain America: Civil War" Teaser
23,1,17 Times Kourtney Kardashian Shut Down Her Own Family
24,0,Skype apologises after service goes down for hours
25,0,Several police officers killed in suicide bombing in Afghanistan
26,1,Does Coffee Make You Poop
27,1,Who Is Your Celebrity Ex Based On Your Zodiac
28,0,Kyrgyzstan votes on referendum for new constitution
29,1,17 Hairdresser Struggles Every Black Girl Knows To Be True
30,0,Intel's offices across the EU raided
31,1,Are You More Walter White Or Heisenberg
32,0,19 South Koreans return home after release from Taliban captivity
33,0,Policeman killed in football-related violence in Italy
34,1,The Most Canadian Groom Ever Left His Wedding To Plow Out His Guests In A Snow Storm
35,0,First television channel in Esperanto launches online
36,1,Here's One Really Weird Thing About Butterfree
37,1,15 Resolutions To Make Good On In 2016
38,0,Fossett set to recreate first non-stop trans-Atlantic flight
39,1,What New Thing Should You Try In 2016
40,0,BBC broadcasts first live episode of EastEnders
41,1,Zoo Animals Around The World Are Opening Their Christmas Presents Early
42,0,US satellite radio provider Sirius unveils portable player
43,1,Tell Us About Yourself(ie): Erica Ash
44,1,9 Times I Cried
45,0,U.S. Rep. Conyers raises Bush censure issue
46,1,21 Vegetarian Dump Dinners For The Crock Pot
47,0,Malawi President pardons jailed gay couple
48,0,US Army to court martial soldier over three Afghan murders
49,1,This Goat Has Been Bullying His Tiger Friend
50,1,8 Fall Shows To Be Excited About 10 To Give A Chance And 6 To Avoid
51,1,Another Round Episode 25: Stop Telling Women To Smile
52,1,16 Signs You Are Too Stubborn To Live
53,1,This Country Singer Makes Music On His Game Boy In His Spare Time
54,0,Bob Barker to retire as host of U.S. gameshow The Price Is Right
55,1,When You Realize Every Guy Is Taken
56,0,New regional jet takes off from St. Petersburg, Russia
57,1,An Awesome Look At The Behind-The-Scenes Concept Art Of "Aladdin"
58,0,14 killed in Russian bus-truck collision
59,1,Sarah Jessica Parker Talks Being A Carrie "Hocus Pocus" And Her Love Of New York
60,1,Which Type Of Swearer Are You
61,0,Second Bangkok airport closed protests continue
62,1,A Dad Recorded All The Adorable Questions His Son Asked When Watching Star Wars For The First Time
63,1,29 Impossibly Stylish Cat Gifts In Order Of Awesomeness
64,1,13 Of The Most Glorious Made-Up Words From Literature
65,0,English actor Norman Painting dies at age 85
66,0,Thirteen arrested in connection with Baghdad bombings
67,0,US undergraduate commits suicide after 'outing' via webcast
68,0,Duke upset by FSU
69,0,European parliament says NO to software patents
70,1,We Pranked A Bunch Of People By Dropping An iPhone In Front Of Them
71,1,23 Flaws Every Sneakerhead Has
72,1,We Know Your Zodiac Sign Based On Which Cat You Choose
73,1,Grimes On Her New Album And The Heartbreaking Inspiration Behind "Oblivion"
74,0,Australian Treasurer told to 'try harder on welfare'
75,0,Tarantino wades through Manila floods
76,0,FBI investigates AT&T security breach
77,0,NASCAR: Kurt Busch wins 2011 Budweiser Shootout
78,1,This Instagram Account Is Recreating 2015's Greatest Hits With Barbies
79,1,The 22 Best Adele Memes
80,0,Bob Barker to retire as host of U.S. gameshow The Price Is Right
81,1,17 Pictures Hot People Will Never Understand
82,1,How Badly Are You Taking The One Direction Hiatus
